folio,fecha_creacion,hora_creacion,dia_semana,fecha_cierre,hora_cierre,tipo_incidente_c4,incidente_c4,alcaldia_inicio,codigo_cierre,clas_con_f_alarma,tipo_entrada,alcaldia_cierre,alcaldia_catalogo,colonia_catalogo,longitud,latitud
C5/20220101/04601,01/01/22,14:46:38,Sábado,01/01/22,18:34:08,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.17066929,19.41792165
C5/20220101/07400,01/01/22,22:48:44,Sábado,02/01/22,1:54:14,Accidente,Ciclista,IZTACALCO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,Iztacalco,Agricola Oriental,-99.073303,19.394603
C5/20220102/01483,02/01/22,12:06:19,Domingo,02/01/22,15:14:15,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,RADIO,CUAUHTEMOC,Cuauhtémoc,Peralvillo,-99.127384,19.459131
C5/20220102/02227,02/01/22,16:08:41,Domingo,02/01/22,19:14:16,Accidente,Ciclista,TLALPAN,A,URGENCIAS MEDICAS,LLAMADA DEL 911,TLALPAN,Tlalpan,Lomas Del Pedregal,-99.21975,19.27262
C5/20220102/03391,02/01/22,21:02:26,Domingo,03/01/22,0:04:19,Accidente,Ciclista,BENITO JUAREZ,A,URGENCIAS MEDICAS,RADIO,BENITO JUAREZ,Benito Juárez,Santa Cruz Atoyac,-99.161123,19.371058
C5/20220103/00793,03/01/22,8:24:54,Lunes,03/01/22,11:34:15,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Juarez,-99.166279,19.424331
C5/20220103/00901,03/01/22,9:24:09,Lunes,03/01/22,12:34:16,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Roma Norte,-99.164634,19.41192
C5/20220103/01580,03/01/22,13:25:16,Lunes,03/01/22,16:50:35,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio San Juan,-99.1079,19.2645
C5/20220103/03008,03/01/22,20:09:49,Lunes,03/01/22,23:14:19,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,San Juan Xalpa,-99.08432,19.33158
C5/20220104/00567,04/01/22,8:24:12,Martes,04/01/22,11:34:20,Accidente,Ciclista,IZTACALCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTACALCO,Venustiano Carranza,La Cruz,-99.113852,19.405779
C5/20220104/00860,04/01/22,10:14:06,Martes,04/01/22,15:24:22,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,El Sifon,-99.11093,19.370002
C5/20220104/00874,04/01/22,10:18:10,Martes,04/01/22,13:24:22,Accidente,Ciclista,IZTAPALAPA,D,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,El Sifon,-99.1103934,19.37028668
C5/20220104/01687,04/01/22,14:17:52,Martes,04/01/22,16:21:38,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,Irrigacion,-99.214412,19.444557
C5/20220104/02177,04/01/22,16:22:02,Martes,04/01/22,19:24:26,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,San Rafael,-99.163278,19.440123
C5/20220104/02260,04/01/22,16:43:52,Martes,04/01/22,19:54:24,Accidente,Ciclista,CUAUHTEMOC,A,URGENCIAS MEDICAS,LLAMADA DEL 911,CUAUHTEMOC,Cuauhtémoc,Nonoalco Tlatelolco,-99.138412,19.449927
C2O/20220105/00043,05/01/22,8:26:57,Miércoles,05/01/22,11:44:26,Accidente,Ciclista,IZTAPALAPA,A,URGENCIAS MEDICAS,BOTÓN DE AUXILIO,IZTAPALAPA,Iztapalapa,Juan Escutia,-99.04323,19.39387
C5/20220105/02952,05/01/22,19:45:59,Miércoles,05/01/22,22:54:31,Accidente,Ciclista,GUSTAVO A. MADERO,F,URGENCIAS MEDICAS,LLAMADA DEL 911,GUSTAVO A. MADERO,Gustavo A. Madero,Cuautepec Barrio Alto,-99.130688,19.55687
C5/20220105/03317,05/01/22,21:08:03,Miércoles,06/01/22,0:14:32,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Barrio San Antonio,-99.070224,19.304096
C5/20220105/03404,05/01/22,21:30:10,Miércoles,06/01/22,0:34:33,Accidente,Ciclista,XOCHIMILCO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,XOCHIMILCO,Xochimilco,Barrio Caltongo,-99.08001713,19.2579101
C5/20220106/01077,06/01/22,10:52:07,Jueves,06/01/22,14:04:31,Accidente,Ciclista,IZTAPALAPA,F,URGENCIAS MEDICAS,LLAMADA DEL 911,IZTAPALAPA,Iztapalapa,Central De Abasto,-99.09557593,19.37906245
C5/20220106/02592,06/01/22,18:04:54,Jueves,06/01/22,19:15:11,Accidente,Ciclista,MIGUEL HIDALGO,A,URGENCIAS MEDICAS,LLAMADA DEL 911,MIGUEL HIDALGO,Miguel Hidalgo,San Miguel Chapultepec I Seccion,-99.184304,19.407827
C5/20220106/03281,06/01/22,20:18:22,Jueves,06/01/22,23:34:18,Accidente,Ciclista,ALVARO OBREGON,A,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Lomas De Becerra,-99.213799,19.385682
C5/20220106/03369,06/01/22,20:44:32,Jueves,06/01/22,23:54:33,Accidente,Ciclista,ALVARO OBREGON,D,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Lomas De Becerra,-99.213799,19.385682
C5/20220106/03422,06/01/22,20:55:34,Jueves,07/01/22,0:04:35,Accidente,Ciclista,ALVARO OBREGON,D,URGENCIAS MEDICAS,LLAMADA DEL 911,ALVARO OBREGON,Álvaro Obregón,Lomas De Becerra,-99.213968,19.385683
